나무,비료,성장률
A,1,54.96714153011233
A,1,48.61735698828815
A,1,56.47688538100692
A,1,65.23029856408026
A,1,47.658466252766644
A,1,47.6586304305082
A,1,65.79212815507391
A,1,57.67434729152909
A,1,45.30525614065048
A,1,55.42560043585965
A,2,48.365823071875376
A,2,48.34270246429743
A,2,55.41962271566034
A,2,33.86719755342202
A,2,35.75082167486967
A,2,47.37712470759027
A,2,42.87168879665576
A,2,56.142473325952736
A,2,43.91975924478789
A,2,38.87696298664709
A,3,70.65648768921554
A,3,53.74223699513465
A,3,56.67528204687924
A,3,41.75251813786544
A,3,50.556172754748175
A,3,57.10922589709866
A,3,44.490064225776976
A,3,59.75698018345672
A,3,49.99361310081195
A,3,53.083062502067236
B,1,48.98293387770603
B,1,73.52278184508938
B,1,54.86502775262066
B,1,44.422890710440996
B,1,63.225449121031886
B,1,42.791563500289776
B,1,57.08863595004755
B,1,35.403298761202244
B,1,41.71813951101569
B,1,56.96861235869123
B,2,65.3846657999541
B,2,59.7136828118997
B,2,56.843517176117594
B,2,54.98896304410711
B,2,43.214780096325725
B,2,50.801557916052914
B,2,53.393612290402125
B,2,68.57122226218915
B,2,61.43618289568462
B,2,40.36959844637266
B,3,64.24083969394795
B,3,57.149177195836835
B,3,54.23077999694041
B,3,67.11676288840869
B,3,71.30999522495951
B,3,70.31280119116198
B,3,52.607824767773614
B,3,57.907876241487855
B,3,64.31263431403565
B,3,70.75545127122359
C,1,55.2082576215471
C,1,58.14341023336183
C,1,48.93665025993972
C,1,48.037933759193294
C,1,68.12525822394198
C,1,73.56240028570824
C,1,59.27989878419666
C,1,70.03532897892023
C,1,63.61636025047634
C,1,53.54880245394876
C,2,66.61395605508415
C,2,78.38036566465969
C,2,62.64173960890049
C,2,78.64643655814007
C,2,36.80254895910255
C,2,71.21902504375224
C,2,63.870470682381715
C,2,60.009926495341325
C,2,63.91760776535502
C,2,43.124310853991076
C,3,63.80328112162488
C,3,69.57112571511746
C,3,80.77894044741517
C,3,60.81729781726352
C,3,57.91506397106812
C,3,60.982429564154636
C,3,75.15402117702074
C,3,69.28751109659684
C,3,60.70239796232961
C,3,71.13267433113356
D,1,65.9707754934804
D,1,74.68644990532889
D,1,57.979469061226474
D,1,61.723378534022316
D,1,61.078918468678424
D,1,50.364850518678814
D,1,67.96120277064577
D,1,67.6105527217989
D,1,65.05113456642461
D,1,62.65412866624853
D,2,53.84629257949586
D,2,63.79354677234641
D,2,64.57285483473231
D,2,59.97722730778381
D,2,66.3871428833399
D,2,72.04050856814538
D,2,86.8618590121053
D,2,69.74577812831839
D,2,70.57550390722764
D,2,67.25554084233832
D,3,51.812287847009586
D,3,70.73486124550783
D,3,71.60230209941027
D,3,95.63242112485287
D,3,69.07639035218878
D,3,74.01547342333612
D,3,70.65288230294757
D,3,59.31321962380468
D,3,82.4282281451502
D,3,78.51933032686775
