study_hours,material_type,score
71,강의,95
34,독학,63
91,도서,95
80,독학,80
40,강의,79
94,강의,100
94,도서,99
43,독학,63
22,강의,72
41,도서,68
72,강의,99
21,강의,66
49,독학,65
57,강의,93
21,독학,48
83,강의,100
79,도서,89
40,강의,78
52,독학,62
95,독학,87
77,도서,85
41,강의,81
68,강의,91
78,도서,92
61,강의,88
79,강의,98
99,독학,91
34,강의,73
81,강의,100
81,도서,93
66,도서,78
81,독학,80
70,강의,95
74,강의,98
83,강의,98
22,독학,47
70,독학,76
26,도서,63
40,독학,60
92,강의,100
58,강의,87
37,독학,59
23,강의,72
79,강의,97
33,독학,61
28,독학,55
72,강의,93
21,강의,72
79,강의,97
90,도서,96
63,도서,84
27,도서,61
66,독학,75
54,도서,78
97,독학,90
100,독학,94
55,도서,76
69,도서,82
23,도서,59
21,강의,68
25,도서,62
73,강의,97
23,독학,52
73,강의,98
82,도서,91
37,독학,62
63,독학,70
53,독학,73
93,강의,100
81,도서,88
33,독학,53
67,독학,74
34,독학,56
91,강의,100
97,강의,100
81,도서,90
59,강의,87
99,독학,85
72,도서,84
43,독학,63
45,독학,63
79,강의,96
60,도서,80
48,강의,84
34,강의,74
64,도서,82
84,독학,82
90,독학,82
28,도서,64
20,독학,51
27,도서,66
82,도서,93
30,강의,71
100,도서,97
27,강의,74
54,독학,68
54,독학,68
52,독학,75
24,독학,53
60,강의,92
