소방서,출동시간,도착시간
소방서1,2023-09-16 06:12:29,2023-09-16 07:51:55
소방서5,2023-09-19 06:11:41,2023-09-19 08:08:36
소방서1,2023-09-14 06:12:00,2023-09-14 07:24:21
소방서6,2023-09-20 06:12:24,2023-09-20 06:30:45
소방서9,2023-09-15 06:11:50,2023-09-15 06:44:00
소방서1,2023-09-14 06:11:45,2023-09-14 06:24:41
소방서10,2023-09-14 06:12:30,2023-09-14 06:13:50
소방서8,2023-09-19 06:11:37,2023-09-19 06:17:42
소방서3,2023-09-18 06:11:44,2023-09-18 08:08:45
소방서5,2023-09-14 06:11:58,2023-09-14 07:14:14
소방서8,2023-09-20 06:11:45,2023-09-20 06:52:06
소방서9,2023-09-13 06:12:21,2023-09-13 07:58:59
소방서9,2023-09-11 06:11:43,2023-09-11 06:52:43
소방서7,2023-09-10 06:12:02,2023-09-10 07:08:45
소방서9,2023-09-10 06:11:44,2023-09-10 07:38:22
소방서8,2023-09-12 06:11:52,2023-09-12 07:06:15
소방서9,2023-09-20 06:11:40,2023-09-20 07:49:21
소방서3,2023-09-19 06:11:36,2023-09-19 07:15:18
소방서5,2023-09-18 06:12:13,2023-09-18 06:56:48
소방서7,2023-09-19 06:11:48,2023-09-19 07:11:12
소방서10,2023-09-15 06:12:33,2023-09-15 06:38:10
소방서2,2023-09-10 06:12:11,2023-09-10 06:15:08
소방서6,2023-09-17 06:12:09,2023-09-17 07:21:41
소방서1,2023-09-10 06:12:16,2023-09-10 07:17:04
소방서4,2023-09-12 06:12:04,2023-09-12 06:35:13
소방서9,2023-09-13 06:12:10,2023-09-13 07:49:39
소방서1,2023-09-20 06:12:26,2023-09-20 07:11:38
소방서1,2023-09-16 06:11:43,2023-09-16 06:58:26
소방서5,2023-09-14 06:11:54,2023-09-14 07:05:54
소방서2,2023-09-11 06:12:30,2023-09-11 07:18:52
소방서2,2023-09-19 06:12:07,2023-09-19 08:07:07
소방서9,2023-09-14 06:12:30,2023-09-14 07:23:14
소방서7,2023-09-20 06:12:14,2023-09-20 06:46:44
소방서1,2023-09-12 06:12:13,2023-09-12 07:06:35
소방서1,2023-09-10 06:11:54,2023-09-10 06:33:50
소방서7,2023-09-19 06:11:49,2023-09-19 08:04:32
소방서3,2023-09-15 06:11:52,2023-09-15 06:43:39
소방서2,2023-09-10 06:12:31,2023-09-10 07:51:04
소방서7,2023-09-12 06:12:15,2023-09-12 06:32:13
소방서5,2023-09-14 06:12:11,2023-09-14 06:29:45
소방서6,2023-09-12 06:12:27,2023-09-12 07:33:37
소방서10,2023-09-14 06:12:07,2023-09-14 06:20:54
소방서3,2023-09-13 06:11:52,2023-09-13 06:15:14
소방서8,2023-09-10 06:12:06,2023-09-10 06:51:33
소방서1,2023-09-18 06:12:01,2023-09-18 06:54:56
소방서9,2023-09-12 06:11:59,2023-09-12 06:30:20
소방서9,2023-09-19 06:12:00,2023-09-19 07:45:23
소방서4,2023-09-11 06:12:13,2023-09-11 06:24:30
소방서9,2023-09-17 06:12:21,2023-09-17 08:06:41
소방서5,2023-09-14 06:12:32,2023-09-14 07:17:37
소방서4,2023-09-12 06:12:22,2023-09-12 07:51:19
소방서1,2023-09-17 06:12:17,2023-09-17 07:25:31
소방서2,2023-09-11 06:12:14,2023-09-11 06:23:35
소방서9,2023-09-12 06:12:26,2023-09-12 08:12:22
소방서9,2023-09-18 06:11:44,2023-09-18 08:08:14
소방서8,2023-09-14 06:11:45,2023-09-14 06:16:01
소방서10,2023-09-13 06:12:13,2023-09-13 07:04:11
소방서4,2023-09-12 06:11:35,2023-09-12 06:29:14
소방서1,2023-09-11 06:11:56,2023-09-11 07:16:17
소방서10,2023-09-19 06:11:50,2023-09-19 06:19:13
소방서8,2023-09-15 06:11:52,2023-09-15 08:02:18
소방서6,2023-09-15 06:12:21,2023-09-15 07:51:49
소방서6,2023-09-17 06:11:42,2023-09-17 06:36:06
소방서1,2023-09-14 06:12:10,2023-09-14 07:17:26
소방서3,2023-09-12 06:12:10,2023-09-12 07:00:14
소방서5,2023-09-19 06:11:36,2023-09-19 06:46:08
소방서10,2023-09-15 06:12:31,2023-09-15 07:01:34
소방서10,2023-09-14 06:12:15,2023-09-14 06:26:44
소방서10,2023-09-15 06:12:19,2023-09-15 07:35:47
소방서5,2023-09-13 06:11:58,2023-09-13 07:26:20
소방서4,2023-09-13 06:12:02,2023-09-13 07:26:59
소방서5,2023-09-15 06:12:31,2023-09-15 06:36:38
소방서1,2023-09-14 06:11:52,2023-09-14 07:16:38
소방서3,2023-09-13 06:12:00,2023-09-13 06:18:30
소방서9,2023-09-18 06:12:14,2023-09-18 08:04:37
소방서4,2023-09-11 06:11:39,2023-09-11 06:17:08
소방서9,2023-09-11 06:11:45,2023-09-11 06:49:30
소방서10,2023-09-20 06:12:14,2023-09-20 07:46:38
소방서4,2023-09-19 06:11:39,2023-09-19 06:44:57
소방서3,2023-09-14 06:12:12,2023-09-14 07:07:14
소방서10,2023-09-20 06:12:03,2023-09-20 07:39:13
소방서4,2023-09-20 06:12:17,2023-09-20 07:20:27
소방서9,2023-09-17 06:12:15,2023-09-17 07:17:10
소방서8,2023-09-17 06:12:16,2023-09-17 07:20:21
소방서2,2023-09-13 06:11:55,2023-09-13 07:22:30
소방서5,2023-09-17 06:12:01,2023-09-17 08:11:05
소방서7,2023-09-14 06:11:43,2023-09-14 07:54:11
소방서2,2023-09-20 06:11:58,2023-09-20 07:08:46
소방서7,2023-09-12 06:12:12,2023-09-12 06:32:43
소방서3,2023-09-17 06:11:35,2023-09-17 06:39:50
소방서1,2023-09-17 06:11:36,2023-09-17 06:38:40
소방서7,2023-09-20 06:12:34,2023-09-20 07:06:15
소방서6,2023-09-12 06:12:33,2023-09-12 06:19:32
소방서4,2023-09-14 06:11:50,2023-09-14 06:50:49
소방서3,2023-09-16 06:12:27,2023-09-16 06:50:09
소방서6,2023-09-17 06:12:02,2023-09-17 06:16:49
소방서6,2023-09-18 06:12:05,2023-09-18 06:41:31
소방서4,2023-09-12 06:11:52,2023-09-12 08:10:19
소방서7,2023-09-12 06:12:22,2023-09-12 07:02:26
소방서8,2023-09-20 06:12:16,2023-09-20 06:30:46
