나라,관광,공무,사업,기타
국가1,1184,270,380,55
국가2,1059,184,267,86
국가3,1129,168,261,50
국가4,692,106,214,125
국가5,1335,296,296,84
국가6,1263,147,204,119
국가7,1207,227,395,103
국가8,859,231,339,130
국가9,509,200,286,112
국가10,1223,280,321,58
국가11,777,178,309,111
국가12,1254,243,275,51
국가13,1304,248,384,131
국가14,1099,286,216,85
국가15,570,123,352,141
국가16,972,241,357,90
국가17,1100,217,349,86
국가18,896,185,310,98
국가19,814,148,225,75
국가20,1205,149,388,117
국가21,986,169,321,85
국가22,1051,269,318,80
국가23,587,263,317,79
국가24,674,292,389,83
국가25,1100,195,283,68
국가26,1349,297,361,67
국가27,1177,194,304,143
국가28,1037,100,360,134
국가29,1345,213,321,52
국가30,572,278,270,119
국가31,1277,136,231,62
국가32,1416,262,213,94
국가33,615,148,271,116
국가34,1476,193,384,141
국가35,1255,231,352,135
국가36,1209,198,279,89
국가37,1347,142,241,89
국가38,931,212,218,125
국가39,948,249,240,72
국가40,1350,227,382,80
국가41,599,100,211,67
국가42,1484,238,366,120
국가43,677,214,311,121
국가44,1255,143,293,68
국가45,1297,286,329,142
국가46,1159,227,318,93
국가47,647,123,244,133
국가48,1410,287,325,99
국가49,923,230,224,91
국가50,788,221,267,143
국가51,1461,198,203,96
국가52,765,162,235,71
국가53,1197,263,389,123
국가54,1139,223,397,139
국가55,1044,295,243,146
국가56,1043,182,232,141
국가57,1214,274,211,123
국가58,744,248,304,78
국가59,651,150,338,131
국가60,1175,255,382,108
국가61,1010,114,365,50
국가62,959,141,325,136
국가63,1382,158,356,113
국가64,683,293,311,66
국가65,528,136,202,86
국가66,1302,110,227,144
국가67,628,186,351,74
국가68,628,143,253,113
국가69,1432,204,251,117
국가70,553,111,374,101
국가71,1401,102,348,58
국가72,1050,151,381,106
국가73,988,180,229,141
국가74,1256,132,267,143
국가75,773,282,235,137
국가76,835,228,239,82
국가77,888,138,337,69
국가78,1117,119,273,122
국가79,542,274,241,121
국가80,942,142,351,137
국가81,1043,215,331,63
국가82,1388,284,246,108
국가83,757,288,378,131
국가84,821,177,308,105
국가85,1499,130,203,114
국가86,1437,124,231,125
국가87,557,225,209,142
국가88,791,102,338,86
국가89,1370,103,227,75
국가90,619,194,373,82
국가91,1279,207,399,92
국가92,930,113,367,64
국가93,582,212,261,136
국가94,591,140,285,78
국가95,1396,172,297,70
국가96,898,119,244,132
국가97,1111,195,234,118
국가98,1065,172,362,72
국가99,1408,254,288,149
국가100,1133,294,233,133
